	A1004	Arecibo 	Arecibo Observatory
1879	A1145	NCAR Hi Alt Obs	National Center for Atmospheric Research, High Altitude observatory
	1888	Bowling Green St U	Bowling Green State University
	1889	W Kentucky U	Western Kentucky University
	1905	U Bradford	University of Bradford, UK
	1912	St Johns Coll	Saint Johns College, UK
	1916	Brandon U	Brandon University, Canada
	1938	U Bridgeport	University of Bridgeport
	1947	U Brighton	University of Brighton, UK
	1948	U Sussex	University of Sussex
1948	152136	Sussex Dep Phy Ast	University of Sussex, Department of Physics and Astronomy
1948	A1768	SEPnet	South-East Physics Network
	1969	Queensland Tech	Queensland University of Technology
	1974	U Queensland	University of Queensland
1974	316549	Queensland Sch Earth Sci	University of Queensland, School of Earth Sciences
1974	326913	Queensland Sch Math Phy	University of Queensland, School of Mathematics and Physics
	1980	U Bristol	University of Bristol, UK
1980	152332	Bristol Sch Chem	University of Bristol, School of Chemistry
1980	152333	Bristol Sch Earth Sci	University of Bristol, School of Earth Sciences
1980	152335	Bristol Sch Geog Sci	University of Bristol, School of Geographical Sciences
1980	152336	Bristol Sch Math	University of Bristol, School of Mathematics
1980	152337	Bristol Sch Phy	University of Bristol, School of Physics
	1981	UWE	University of the West of England, Bristol
	1992	Roger Williams U	Roger Williams University
	1994	U Tech Sydney	University of Technology Sydney
	2007	Yeshiva U	Yeshiva University
	2009	CUNY	City University of New York
2009	14767	Bronx Comm Coll	Bronx Community College
2009	14768	Manhattan Comm Coll	Manhattan Community College
2009	14771	CUNY St Island	CUNY College of Staten Island
2009	14776	Kingsborough Comm Coll	Kingsborough Community College
2009	14777	LaGuardia Comm Coll	LaGuardia Community College
2009	14779	Medgar Evers Coll	Medgar Evers Community College
2009	14780	NYC Coll Tech	New York City College of Technology
2009	14781	CUNY Queens Coll	CUNY Queens College
2009	14782	Queensborough Comm Coll	Queensborough Community College
2009	14783	York Coll	York College
2009	2037	Brooklyn Coll	Brooklyn College
2009	5920	Baruch Coll	Baruch College
2009	5924	Hunter Coll	Hunter College
	2010	Manhattan Coll	Manhattan College
	2019	S Dakota St U	South Dakota State University
	2029	Syracuse U	Syracuse University
2029	251768	Syracuse Dep Phy	Syracuse University, Department of Physics
	2044	USAF	U.S. Air Force
2044	115768	Kirtland AFB AFRL	Kirtland Air Force Research Laboratory
2044	149992	Peterson AFB AFRL	Peterson Air Force Research Laboratory
2044	2611	USAF Acad CO	U.S. Air Force Academy, CO
2044	148672	Edwards AFB	Edwards Air Force Base
2044	392352	Wright-Patterson AFB	Wright-Patterson Air Force Base
2044	47794	Air Force Inst Tech	Air Force Institute of Technology
2044	98976	Hanscom AFB AFRL	Hanscom Air Force Research Laboratory
	2045	Long Island U	Long Island University
	2050	Bowdoin Coll	Bowdoin College
	2053	NATO	North Atlantic Treaty Organization, Brussels
	2058	Bryn Mawr Coll	Bryn Mawr College
	2059	W Virg Wesleyan Coll	West Virginia Wesleyan College
	2060	U Buckingham	University of Buckingham, UK
	2071	Canisius Coll	Canisius College
	2080	La Trobe U	La Trobe University
2080	428687	La Trobe Dep Phy	La Trobe University, Department of Physics
	2092	UVM	University of Vermont
	2104	Deakin U	Deakin University
	2112	Cardiff U	Cardiff University
2112	151290	Cardiff Sch Earth Ocean Sci	Cardiff University, School of Earth and Ocean Sciences
2112	151301	Cardiff Sch Phy Ast	Cardiff University, School of Physics and Astronomy
2112	A1757	Cardiff Ctr Astrob	Cardiff University, Center for Astrobiology
	2118	Coll Idaho	College of Idaho
	2129	U Calgary	University of Calgary
2129	113480	Calgary Dep Geos	University of Calgary, Department of Geoscience
2129	A1724	Calgary Dep Phy Ast	University of Calgary, Department of Physics and Astronomy
2129	A1725	Calgary Inst Sp Res	University of Calgary, Institute for Space Research
	2152	UCamb	University of Cambridge, UK
2152	150698	UCamb Dep Chem	University of Cambridge, Department of Chemistry
2152	151939	UCamb Ctr Atmos Sci	University of Cambridge, Center for Atmospheric Science
2152	151955	UCamb IoA	University of Cambridge, Institute of Astronomy
2152	151956	UCamb Dep Phy	University of Cambridge, Department of Physics
2152	53257	CUP	University of Cambridge Press
2152	61433	UCamb Christs Coll	University of Cambridge, Christs College
2152	61434	UCamb Churchill Coll	University of Cambridge, Churchill College
2152	61461	UCamb Trinity Coll	University of Cambridge, Trinity College
2152	65899	UCamb Dep Math	University of Cambridge, Department of Mathematics
2152	67365	UCamb Dep Eng	University of Cambridge, Department of Engineering
2152	67366	UCamb Dep Earth Sci	University of Cambridge, Department of Earth Sciences
	2165	Schlumberger	Schlumberger Ltd
2165	2164	Schlumberger Cambridge 	Schlumberger Cambridge Research Ltd
2165	318641	Schlumberger Houston	Schlumberger Houston Ltd
	2167	MIT	Massachusetts Institute of Technology
2167	117274	Haystack Obs	Haystack Observatory
2167	122708	MIT Sch Eng	MIT, School of Engineering
2167	203287	Singapore-MIT Alliance Res Tech Ctr	Singapore-MIT Alliance for Research and Technology Center
2167	5763	MIT Lincoln Lab	MIT, Lincoln Laboratory
2167	A1012	MIT Ctr Sp Res/Kavli Inst	MIT, Center for Space Research/Kavli Institute
2167	A1013	MIT Dep Earth Plan Sci	MIT, Department of Earth and Planetary Science
2167	A1014	MIT Dep Phy	MIT, Department of Physics
2167	A1803	MIT/WHOI Jt Prog Ocean	MIT/WHOI Joint Program in Oceanography
	2214	Austr Def Force Acad	Australian Defence Force Academy
2214	155101	UNSW@ADFA	UNSW@ADFA
	2219	ANU	Australian National University, Canberra
2219	111119	ANU Res Sch Phy Eng	ANU, Research School of Physics and Engineering
2219	170547	ANU Res Sch Earth Sci	ANU, Research School of Earth Sciences
2219	217002	ANU Res Sch Ast Astrop	ANU, Research School of Astronomy and Astrophysics
2219	310804	ANU MSSSO	ANU, Mount Stromlo and Siding Spring Observatories
	2221	CSIRO	Commonwealth Scientific and Industrial Research Organization
2221	67431	CSIRO Div App Phy	CSIRO Division of Applied Physics
2221	113124	CSIRO Mar Atmos Res	CSIRO Marine and Atmospheric Research
2221	123968	CSIRO Austr Tele Natl Fac	CSIRO Australian Telescope National Facility
2221	129603	CSIRO Div RadPhy	CSIRO Division of Radiophysics
2221	206425	CSIRO Earth Sci Resource Eng	CSIRO Earth Science and Resource Engineering
2221	206428	CSIRO Ast Sp Sci	CSIRO Astronomy and Space Science
2221	A1675	CASWR	Centre for Australian Weather and Climate Research
	2222	DSTO	Defence Science and Technology Organization
	2234	U Canberra	University of Canberra
	2240	U Kent	University of Kent, UK
2240	152102	Kent Sch Phy Sci	University of Kent, School of Physical Sciences
2240	152138	Kent Ctr Astrop Plan Sci	University of Kent, Center for Astrophysics and Planetary Science
2240	A1768	SEPnet	South-East Physics Network
	2244	Lincoln U NZ	Lincoln University, New Zealand
	2250	St Lawrence U	Saint Lawrence University
	2251	SE Missouri St U	Southeast Missouri State University
	2254	S Illinois U	Southern Illinois University
	2272	Dickinson U	Dickinson College
	2281	U Melbourne	University of Melbourne
2281	A1671	U Melbourne Dep Phy	University of Melbourne, Department of Physics
2281	A1672	U Melbourne Dep Earth Sci	University of Melbourne, Department of Earth Sciences
	2310	U PR San Juan 	University of Puerto Rico, San Juan
2310	16146	U PR Mayaguez	University of Puerto Rico, Mayaguez
2310	19850	U PR Arecibo	University of Puerto Rico, Arecibo
2310	19872	U PR Humacao	University of Puerto Rico, Humacao
2310	19878	U PR Piedras	University of Puerto Rico, Piedras
2310	2309	U PR Cayey 	University of Puerto Rico, Cayey
	2313	U N Iowa	University of Northern Iowa
	2320	Rockwell	Rockwell International
2331	A1040	TUNL	Triangle Universities Nuclear Laboratory
2331	A1043	UNC Dep Phy Ast	University of North Carolina, Department of Physics and Astronomy
	2332	NC Univ Sys	North Carolina University System
2332	14616	UNC Greensboro	University of North Carolina, Greensboro
2332	14621	UNC Wilmington	University of North Carolina, Wilmington
2332	14727	UNC Charlotte	University of North Carolina, Charlotte
2332	1801	Appalachian St U	Appalachian State University
2332	2331	UNC Chapel Hill	University of North Carolina, Chapel Hill
2332	2739	W Carolina U	Western Carolina University
2332	3189	Elizabeth City Carolina U	Elizabeth City Carolina University
2332	3338	Fayetteville St U	Fayetteville State University
2332	3627	E Carolina U	Eastern Carolina University
2332	6798	NCSU	North Carolina State University
2332	8620	UNC Asheville	University of North Carolina, Asheville
	2340	Citadel Mil Coll S Carolina	Citadel Military College of South Carolina
	2343	Coll Charleston	College of Charleston
	2344	E Illinois U	Eastern Illinois University
	2348	Mass General	Massachusetts General Hospital
	2358	UVA	University of Virginia
2358	A1050	UVA Dep Ast	University of Virginia, Department of Astronomy
2358	A1051	UVA Dep Phy	University of Virginia, Department of Physics
	2359	U PEI	University of Prince Edward Island, Canada
	2369	Anglia Ruskin U	Anglia Ruskin University, UK
	2376	U Gloucestershire	University of Gloucestershire, UK
	2380	E Wash U	Eastern Washington University
	2392	Widener U	Widener University
	2415	Field Mus Nat Hist	Field Museum of Natural History
	2418	Columbia Coll	Columbia College
	2451	Chicago St U	Chicago State University
	2453	DePaul U	DePaul University
	2455	Ill Inst Tech	Illinois Institute of Technology Chicago
	2456	Loyola U Chicago	Loyola University Chicago
	2458	NE Ill U	Northeastern Illinois University
	2460	Roosevelt U	Roosevelt University
	2462	U Chicago	University of Chicago
2462	166952	UChicago Dep Geop Sci	University of Chicago, Department of Geophysical Sciences
2462	172335	UChicago Enrico Fermi Inst	University of Chicago, Enrico Fermi Institute
2462	226676	UChicago Dep Ast Astrop	University of Chicago, Department of Astronomy and Astrophysics
2462	A1115	UChicago Kavli Inst Cosmo Phy	University of Chicago, Kavli Institute for Cosmological Physics
2462	A1116	UChicago Dep Phy	University of Chicago, Department of Physics
2462	A1117	UChicago Yerkes Obs	University of Chicago, Yerkes Observatory
	2495	U Otago NZ	University of Otago, New Zealand
2495	168991	Otago Dep Phy	University of Otago, Department of Physics
	2496	U Canterbury	University of Canterbury
2496	A1653	Canterbury Dep Phy Ast	University of Canterbury, Department of Physics and Astronomy
	2498	Edith Cowan U	Edith Cowan University
	2511	NIH	National Institutes of Health
2514	A1801	U Cincinnati Dep Phy	University of Cincinnati, Department of Physics
	2515	Xavier U Ohio	Xavier University, Ohio
	2525	Claremont U Cons	Claremont University Consortium
2525	2529	Pomona Coll	Pomona College
2525	2530	Claremont McKenna Coll	Claremont McKenna College
2525	31750	Harvey Mudd Coll	Harvey Mudd College
2525	31752	Scripps Coll	Scripps College
	2536	Austin Peay St U	Austin Peay State University
	2541	Monash U	Monash University
2541	161674	Monash Sch Geos	Monash University, School of Geosciences
2541	161675	Monash Sch Math Sci	Monash University, School of Mathematical Sciences
2541	161676	Monash Sch Phy	Monash University, School of Physics
2541	A1669	Monash Sch Astrop	Monash University, School of Astrophysics
2541	A1670	Monash Sch Earth Atmos Env	Monash University, School of Earth Atmosphere and Environment
	2545	Clemson U	Clemson University
2545	A1054	Clemson Dep Phy Ast	Clemson University, Department of Physics and Astronomy
	2546	CWRU	Case Western Reserve University
2546	271918	CWRU Dep Phy	Case Western Reserve University, Department of Physics
2546	A1089	CWRU Dep Ast	Case Western Reserve University, Department of Astronomy
	2576	Hamilton Coll	Hamilton College
	2591	U Essex	University of Essex, UK
	2596	U Ulster	University of Ulster
	2610	Colo Coll	Colorado College
	2628	U MO	University of Missouri
2628	12271	U MO Columbia	University of Missouri, Columbia
2628	12273	U MO Kansas City	University of Missouri, Kansas City
2628	14611	U MO St Louis	University of Missouri, Saint Louis
2628	14717	U MO Rolla	University of Missouri, Rolla
2628	312020	U MO Columbia Dep Phy	University of Missouri, Columbia, Department of Physics
2628	A1104	U MO St Louis Dep Phy Ast	University of Missouri, Saint Louis, Department of Physics and Astronomy
	2629	U S Carolina	University of South Carolina
2629	A1069	U S Carolina Dep Phy Ast	University of South Carolina, Department of Physics and Astronomy
	2647	Ohio St U	The Ohio State University
2647	242614	Ohio St Sch Earth Sci	The Ohio State University, School of Earth Sciences
2647	A1090	Ohio St Dep Ast	The Ohio State University, Department of Astronomy
2647	A1091	Ohio St Dep Phy	The Ohio State University, Department of Physics
	2655	TX A&M U Sys	Texas A&M University System
2655	146313	TX A&M Qatar	Texas A&M University, Qatar
2655	14736	TX A&M Coll Station	Texas A&M University, College Station
2655	14737	TX A&M Commerce	Texas A&M University, Commerce
2655	14738	TX A&M Corp Christi	Texas A&M University, Corpus Christi
2655	14739	TX A&M Kingsville	Texas A&M University, Kingsville
2655	33604	TX A&M Galveston	Texas A&M University, Galveston
2655	6717	TX A&M Prairie View	Texas A&M University, Prairie View
	2672	Coastal Carolina U	Coastal Carolina University
	2673	U Cen AR	University of Central Arkansas
	2690	Corning	Corning Inc.
2694	97120	OR St U Corvallis Coll Ocean Atmos Sci	Oregon State University, Corvallis, College of Oceanic and Atmospheric Sciences
	2695	OR St U Sys	Oregon State University System
2695	2694	OR St U Corvallis	Oregon State University, Corvallis
2695	3265	U Oregon	University of Oregon
2695	6684	OR Health Sci U	Oregon Health and Science University
2695	6685	Portland St U	Portland State University
2695	90665	OR St U Newport	Oregon State University, Newport
	2706	Coventry Poly U	Coventry Lanchester Polytechnic University, UK
	2707	U Warwick	University of Warwick, UK
2707	417804	Warwick Dep Phy	University of Warwick, Department of Physics
	2717	Cranfield U	Cranfield University, UK
	2719	Wabash Coll	Wabash College
	2720	U West Austr	University of Western Australia
2720	376303	West Austr Sch Earth Env	University of Western Australia, School of Earth and Environment
2720	98501	West Austr Sch Phy	University of Western Australia, School of Physics
2720	A1676	Intl Ctr Rad Ast Research	International Centre for Radio Astronomy Research
	2764	Tenn Tech U	Tennessee Technological University
	2765	SMU	Southern Methodist University
	2771	CT St U	Connecticut State University
2771	2770	W CT St U	Western Connecticut State University
2771	5745	Cen CT St U	Central Connecticut State University
2771	5762	S CT St U	Southern Connecticut State University
2771	8600	E CT St U	Eastern Connecticut State University
	2779	Central Coll	Centre College
	2814	Nova Southeastern U	Nova Southeastern University
	2824	U Dayton	University of Dayton
	2830	Embry Riddle Aero U	Embry Riddle Aeronautical University
2830	52459	Embry Riddle Prescott	Embry Riddle Aeronautical University, Prescott AZ
2830	A1055	Embry Riddle Dep Phy Sci	Embry Riddle Aeronautical University, Department of Physical Sciences
	2837	Agnes Scott Coll	Agnes Scott College
	2840	Millikin U	Millikin University
	2848	N Illinois U	Northern Illinois University
	2854	Ohio Wesleyan U	Ohio Wesleyan University
	2859	TNO	Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek
	2860	TU Delft	Technische Universiteit Delft
2860	416685	TU Delft Fac Tech Geos Eng	Technische Universiteit Delft, Faculty of Technical Geosciences and Engineering
2860	A1233	TU Delft Inst Earth Obs Sp Sys	Technische Universiteit Delft, Institute for Earth Observation and Space Systems
	2905	NWO	Netherlands Organization for Scientific Research
2905	55942	ASTRON	Netherlands Foundation for Research in Astronomy
2905	55944	SRON	Netherlands Institute for Space Research
	2927	U Denver	University of Denver
2927	236458	U Denver Dep Phy Ast	University of Denver, Department of Physics and Astronomy
	2928	USGS	US Geological Survey
2928	110093	USGS Sioux Falls	US Geological Survey, Sioux Falls
2928	124307	USGS Flagstaff	US Geological Survey, Flagstaff
2928	124315	USGS HI	US Geological Survey, Hawaii
2928	124348	USGS CVO	US Geological Survey Cascades Volcano Observatory, Vancouver
2928	189579	U Wash USGS Sch Oceanog	University of Washington, USGS School of Oceanography
